Act/Rule/Regulation,Description
"The District Mineral Foundation (DMF) Rules, 2015",These rules regulate the establishment and operation of District Mineral Foundations (DMFs). DMFs are trusts that are funded by mining companies to promote the sustainable development of mining-affected districts.
"The National Mineral Policy, 2009","This policy provides a framework for the sustainable development of mineral resources in India. It covers topics such as mineral conservation, environmental protection, and community development."
"The National Environment Policy, 2006","This policy provides a framework for the protection and improvement of the environment in India. It covers a wide range of topics, including pollution control, waste management, and biodiversity conservation."
"The National Forest Policy, 1988","This policy provides a framework for the conservation and management of forests in India. It covers topics such as afforestation, forest protection, and people's participation in forest management."
"The Air (Prevention and Control of Pollution) Rules, 2021","These rules regulate the emission of air pollutants from various sources, including industries, vehicles, and power plants."
"The Water (Prevention and Control of Pollution) Rules, 2021","These rules regulate the discharge of pollutants into water bodies from various sources, including industries, sewage treatment plants, and agricultural activities."
"The Hazardous Wastes (Management, Handling & Transboundary Movement) Rules, 2016","These rules regulate the management, handling, and transboundary movement of hazardous wastes."
"The Mines and Minerals (Development and Regulation) Amendment Act, 2023","This act amended the Mines and Minerals (Development and Regulation) Act, 1957 to introduce a number of reforms, including the introduction of a competitive bidding process for mining leases and the simplification of the mining regulatory framework."
"The Mineral Conservation and Development (Amendment) Rules, 2023","These rules amended the Mineral Conservation and Development Rules, 1988 to introduce a number of changes, including the introduction of a new system for the calculation of mineral royalty and the streamlining of the environmental clearance process for mining projects."
"The Coal Mines (Special Provisions) Act, 2015","This act provides for the allocation of coal mines for commercial mining. It also establishes the Coal Mines (Special Provisions) Authority, which is responsible for the allocation of coal mines and the monitoring of commercial mining operations."
The National Coal Mine Safety Mission,"This mission was launched by the Government of India in 2013 to reduce the number of accidents and fatalities in coal mines. The mission has implemented a number of measures, including the introduction of new safety technologies and the training of mine workers."
The Sustainable Development Framework for the Mining Sector,"This framework was developed by the Ministry of Mines in 2012 to promote the sustainable development of the mining sector in India. The framework covers a wide range of topics, including environmental protection, community development, and mine closure."
The Mining Surveillance System,This system was launched by the Ministry of Mines in 2015 to monitor illegal mining activities. The system uses satellite imagery and other data to identify illegal mining sites.
"The District Mineral Fund (DMF) Guidelines, 2015","These guidelines provide guidance on the implementation of the District Mineral Foundation (DMF) Rules, 2015. The guidelines cover topics such as the composition of DMFs, the preparation of DMF plans, and the utilization of DMF funds."
"The National Mine Site Restoration Strategy, 2018","This strategy was developed by the Ministry of Mines to promote the restoration of mine sites in India. The strategy covers a wide range of topics, including the assessment of mine site degradation, the development of mine site restoration plans, and the implementation of mine site restoration activities."
"The Mineral Exploration Policy, 2020","This policy was developed by the Ministry of Mines to promote mineral exploration in India. The policy introduces a number of reforms, including the simplification of the exploration licensing process and the provision of financial incentives for exploration companies."
"The National Mineral Policy, 2023",The Ministry of Mines is currently in the process of developing a new National Mineral Policy. The new policy is expected to provide a framework for the sustainable development of the mining sector in India for the next decade.
"The National Environment Appellate Authority (NEAA) Act, 1997","This act establishes the National Environment Appellate Authority (NEAA), which is a body that hears appeals against environmental clearances and other decisions of the government."
"The National Green Tribunal Act, 2010","This act establishes the National Green Tribunal (NGT), which is a specialized body that hears cases related to environmental protection and conservation."
"The Companies Act, 2013","This act regulates the formation and operation of companies in India. It contains a number of provisions that are relevant to mining companies, such as provisions on corporate social responsibility and environmental protection."
"The Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015","These regulations regulate the listing and disclosure requirements of companies listed on Indian stock exchanges. The regulations contain a number of provisions that are relevant to mining companies, such as provisions on disclosure of environmental and social risks."
"The Business Responsibility and Sustainability Reporting (BRSR) Framework, 2022","This framework was developed by the Securities and Exchange Board of India (SEBI) to promote sustainability reporting by companies. The framework contains a number of provisions that are relevant to mining companies, such as provisions on disclosure of environmental and social impacts."
The Indian Standards on Sustainability Reporting (ISRS),"These standards were developed by the Institute of Chartered Accountants of India (ICAI) to provide guidance to companies on sustainability reporting. The standards contain a number of provisions that are relevant to mining companies, such as provisions on disclosure of environmental and social impacts."
"The National Environment Appellate Authority (NEAA) Act, 1997","This act establishes the National Environment Appellate Authority (NEAA), which is a body that hears appeals against environmental clearances and other decisions of the government."
"The National Green Tribunal Act, 2010","This act establishes the National Green Tribunal (NGT), which is a specialized body that hears cases related to environmental protection and conservation."
"The Companies Act, 2013","This act regulates the formation and operation of companies in India. It contains a number of provisions that are relevant to mining companies, such as provisions on corporate social responsibility and environmental protection."
"The Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015","These regulations regulate the listing and disclosure requirements of companies listed on Indian stock exchanges. The regulations contain a number of provisions that are relevant to mining companies, such as provisions on disclosure of environmental and social risks."
"The Business Responsibility and Sustainability Reporting (BRSR) Framework, 2022","This framework was developed by the Securities and Exchange Board of India (SEBI) to promote sustainability reporting by companies. The framework contains a number of provisions that are relevant to mining companies, such as provisions on disclosure of environmental and social impacts."
The Indian Standards on Sustainability Reporting (ISRS),"These standards were developed by the Institute of Chartered Accountants of India (ICAI) to provide guidance to companies on sustainability reporting. The standards contain a number of provisions that are relevant to mining companies, such as provisions on disclosure of environmental and social impacts."
The Global Reporting Initiative (GRI) Standards,"These standards are a set of international standards for sustainability reporting. The GRI Standards are widely used by companies around the world, including mining companies."
The Sustainable Development Goals (SDGs),"The SDGs are a set of 17 goals that have been adopted by the United Nations to achieve a sustainable future for all. The SDGs are relevant to all industries, including the mining industry."
The Extractive Industries Transparency Initiative (EITI),"The EITI is a global standard for the promotion of transparency and accountability in the extractive industries. The EITI requires participating countries to publish information on a number of key areas, including production, revenue, and payments to governments."
The Responsible Mining Index (RMI),"The RMI is a benchmark that assesses the performance of mining companies on a number of environmental, social, and governance (ESG) factors. The RMI is used by investors and other stakeholders to assess the sustainability of mining companies."
The Mining Association of India (MAI) Code of Ethics,"The MAI Code of Ethics is a set of voluntary principles that have been adopted by the members of the Mining Association of India. The Code covers a number of areas, including environmental protection, social responsibility, and ethical business conduct."
The International Council on Mining and Metals (ICMM) Sustainable Development Framework,"The ICMM Sustainable Development Framework is a set of 10 principles that have been adopted by the members of the International Council on Mining and Metals. The Framework covers a number of areas, including environmental protection, social responsibility, and ethical business conduct."
The Global Industry Standard on Tailings Management (GISTM),"The GISTM is a standard that has been developed by the Global Tailings Review to promote the safe management of tailings. The GISTM covers a number of areas, including tailings design, construction, operation, and closure."
The International Cyanide Management Code (ICMC),"The ICMC is a voluntary code that has been developed by the International Cyanide Management Institute to promote the safe management of cyanide. The ICMC covers a number of areas, including cyanide use, storage, handling, and transportation."
The Responsible Jewellery Council (RJC) Certification Standards,The RJC Certification Standards are a set of standards that have been developed by the Responsible Jewellery Council to promote responsible business practices in the jewellery supply chain. The RJC Standards are relevant to mining companies that produce gold and other precious metals.
The Fairmined Standard,"The Fairmined Standard is a certification scheme that promotes responsible mining practices in the artisanal and small-scale mining sector. The Fairmined Standard covers a number of areas, including environmental protection, social responsibility, and ethical business conduct."
